fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2019/07/23,,,,,
2019/07/24,,,,,
2019/07/25,,,,,
2019/07/26,,,,,
2019/07/27,,,,,
2019/07/28,,,,,
2019/07/29,,,,,
2019/07/30,,,,,
2019/07/31,,,,,
2019/08/01,,,,,
2019/08/02,,,,,
2019/08/03,,,,,
2019/08/04,,,,,
2019/08/05,,,,,
2019/08/06,,,,,
2019/08/07,,,,,
2019/08/08,,,,,
2019/08/09,,,,,
2019/08/10,,,,,
2019/08/11,,,,,
2019/08/12,,,,,
2019/08/13,,,,,
2019/08/14,,,,,
2019/08/15,,,,,
2019/08/16,,,,,
2019/08/17,,,,,
2019/08/18,,,,,
2019/08/19,,,,,
2019/08/20,,,,23.3,20.8
2019/08/21,50.008701,67.517000,32.719000,100.0,100.0
2019/08/22,51.052674,68.568000,35.793000,100.0,100.0
2019/08/23,50.003858,67.033000,34.907000,100.0,100.0
2019/08/24,52.734507,72.417000,36.494000,100.0,100.0
2019/08/25,49.034226,68.188000,32.138000,100.0,100.0
2019/08/26,50.894465,75.195000,28.700000,100.0,100.0
2019/08/27,48.327865,67.395000,31.817000,100.0,100.0
2019/08/28,50.038733,64.440000,34.712000,100.0,100.0
2019/08/29,48.291667,68.000000,32.000000,100.0,100.0
2019/08/30,42.562500,66.000000,18.000000,100.0,100.0
2019/08/31,52.889836,77.000000,28.000000,99.0,100.0
2019/09/01,52.155303,72.000000,33.000000,98.6,100.0
2019/09/02,57.406250,85.000000,27.000000,99.7,100.0
2019/09/03,54.687816,76.000000,30.000000,99.3,100.0
2019/09/04,59.353535,84.000000,33.000000,99.0,100.0
2019/09/05,56.802083,89.000000,33.000000,99.7,100.0
2019/09/06,53.076389,77.000000,30.000000,100.0,100.0
2019/09/07,51.866477,78.000000,27.000000,99.3,100.0
2019/09/08,44.517361,71.000000,24.000000,100.0,100.0
2019/09/09,46.015467,64.000000,33.000000,99.7,100.0
2019/09/10,52.124053,83.000000,31.000000,99.7,100.0
2019/09/11,60.843750,91.000000,29.000000,100.0,100.0
2019/09/12,70.715278,99.000000,30.000000,99.7,100.0
2019/09/13,50.930556,91.000000,30.000000,100.0,100.0
2019/09/14,53.172980,71.000000,37.000000,99.7,100.0
2019/09/15,60.697917,84.000000,38.000000,100.0,100.0
2019/09/16,56.153725,88.000000,29.000000,99.7,100.0
2019/09/17,67.046086,96.000000,32.000000,97.9,100.0
2019/09/18,81.735480,100.000000,46.000000,98.6,100.0
2019/09/19,89.743056,100.000000,57.000000,100.0,100.0
2019/09/20,83.759785,100.000000,41.000000,98.3,100.0
2019/09/21,70.854167,90.000000,44.000000,98.3,100.0
2019/09/22,64.911616,97.000000,30.000000,98.6,100.0
2019/09/23,57.896149,88.000000,35.000000,99.0,100.0
2019/09/24,70.940025,100.000000,39.000000,99.7,100.0
2019/09/25,62.518308,88.000000,45.000000,99.0,100.0
2019/09/26,61.774305,97.000000,29.000000,100.0,100.0
2019/09/27,66.503472,99.000000,32.000000,100.0,100.0
2019/09/28,79.764205,100.000000,38.000000,99.7,100.0
2019/09/29,82.767045,100.000000,37.000000,99.3,100.0
2019/09/30,87.159407,100.000000,56.000000,99.3,100.0
2019/10/01,83.401515,100.000000,43.000000,99.7,100.0
2019/10/02,83.350379,100.000000,43.000000,99.3,100.0
2019/10/03,82.218750,100.000000,57.000000,100.0,100.0
2019/10/04,69.581124,99.000000,36.000000,99.0,100.0
2019/10/05,82.208333,100.000000,39.000000,100.0,100.0
2019/10/06,85.349432,100.000000,52.000000,98.6,100.0
2019/10/07,80.995581,100.000000,49.000000,98.6,100.0
2019/10/08,73.835859,100.000000,49.000000,99.7,100.0
2019/10/09,66.512942,99.000000,39.000000,99.3,100.0
2019/10/10,67.482639,98.000000,42.000000,100.0,100.0
2019/10/11,68.317866,97.000000,46.000000,99.7,100.0
2019/10/12,65.297033,97.000000,35.000000,99.7,100.0
2019/10/13,76.323232,98.000000,44.000000,99.7,100.0
2019/10/14,70.023674,100.000000,36.000000,99.7,100.0
2019/10/15,78.773990,100.000000,46.000000,99.7,100.0
2019/10/16,82.774621,100.000000,42.000000,99.3,100.0
2019/10/17,85.095328,100.000000,44.000000,99.7,100.0
2019/10/18,86.511048,100.000000,46.000000,99.0,100.0
2019/10/19,89.794686,100.000000,48.000000,95.5,95.8
2019/10/20,86.937500,100.000000,63.000000,99.3,100.0
2019/10/21,88.731692,100.000000,55.000000,99.7,100.0
2019/10/22,90.072601,100.000000,68.000000,99.3,100.0
2019/10/23,89.325694,100.000000,59.000000,99.0,100.0
2019/10/24,84.734849,99.000000,52.000000,99.7,100.0
2019/10/25,74.926641,99.000000,46.000000,98.3,100.0
2019/10/26,82.944129,100.000000,48.000000,98.3,100.0
2019/10/27,83.722538,100.000000,47.000000,99.7,100.0
2019/10/28,73.770833,99.000000,33.000000,99.7,100.0
2019/10/29,77.218750,99.000000,45.000000,100.0,100.0
2019/10/30,83.801136,99.000000,45.000000,99.3,100.0
2019/10/31,82.288195,100.000000,41.000000,100.0,100.0
2019/11/01,85.913194,100.000000,42.000000,100.0,100.0
2019/11/02,87.447917,100.000000,54.000000,99.7,100.0
2019/11/03,86.274306,99.000000,53.000000,100.0,100.0
2019/11/04,85.708333,100.000000,55.000000,100.0,100.0
2019/11/05,82.191919,99.000000,42.000000,99.7,100.0
2019/11/06,82.503157,99.000000,46.000000,99.3,100.0
2019/11/07,72.045139,99.000000,45.000000,100.0,100.0
2019/11/08,70.726326,99.000000,40.000000,99.7,100.0
2019/11/09,88.958333,99.000000,61.000000,99.3,100.0
2019/11/10,90.651831,99.000000,63.000000,99.7,100.0
2019/11/11,93.782828,99.000000,71.000000,99.3,100.0
2019/11/12,91.805556,99.000000,65.000000,100.0,100.0
2019/11/13,95.395202,99.000000,80.000000,99.0,100.0
2019/11/14,89.649306,99.000000,68.000000,100.0,100.0
