fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2019/12/03,12.370,19.90,7.30,100.0,100.0
2019/12/04,12.637,18.90,9.60,99.7,100.0
2019/12/05,12.217,18.30,9.60,100.0,100.0
2019/12/06,11.578,15.90,9.30,100.0,100.0
2019/12/07,11.139,15.60,8.90,100.0,100.0
2019/12/08,11.699,17.30,9.10,99.7,100.0
2019/12/09,12.617,18.70,9.60,100.0,100.0
2019/12/10,12.398,18.10,9.50,100.0,100.0
2019/12/11,12.192,18.10,8.70,100.0,100.0
2019/12/12,11.781,16.30,9.30,100.0,100.0
2019/12/13,11.928,17.70,8.40,100.0,100.0
2019/12/14,11.906,17.80,8.80,100.0,100.0
2019/12/15,12.449,19.00,9.00,100.0,100.0
2019/12/16,13.376,19.70,8.70,100.0,100.0
2019/12/17,13.136,20.00,8.80,99.7,100.0
2019/12/18,12.450,19.10,8.40,100.0,100.0
2019/12/19,12.661,19.20,9.60,100.0,100.0
2019/12/20,12.696,17.70,9.00,100.0,100.0
2019/12/21,13.313,19.10,8.70,99.7,100.0
2019/12/22,13.540,19.50,8.60,100.0,100.0
2019/12/23,13.820,19.00,10.50,100.0,100.0
2019/12/24,14.579,20.50,10.20,100.0,100.0
2019/12/25,14.541,21.40,9.00,100.0,100.0
2019/12/26,15.289,21.40,10.00,100.0,100.0
2019/12/27,13.882,19.40,9.80,98.3,95.8
2019/12/28,13.982,20.30,10.30,100.0,100.0
2019/12/29,14.085,20.30,10.20,100.0,100.0
2019/12/30,12.396,17.00,10.40,100.0,100.0
2019/12/31,11.613,14.90,10.00,100.0,100.0
2020/01/01,11.333,16.10,9.90,100.0,100.0
2020/01/02,11.855,16.50,10.00,100.0,100.0
2020/01/03,12.517,18.60,10.00,100.0,100.0
2020/01/04,12.635,18.50,7.80,100.0,100.0
2020/01/05,12.545,18.50,9.90,100.0,100.0
2020/01/06,12.251,17.90,9.40,99.3,100.0
2020/01/07,12.565,18.40,8.30,100.0,100.0
2020/01/08,13.413,20.40,8.60,99.7,100.0
2020/01/09,13.213,20.20,6.30,100.0,100.0
2020/01/10,14.795,20.60,9.40,99.7,100.0
2020/01/11,14.425,20.40,8.80,100.0,100.0
