fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2019/11/10,1.753333,3.700000,0.400000,9.687961,91.7,91.7
2019/11/11,0.842857,1.400000,0.300000,268.416973,96.9,95.8
2019/11/12,1.172222,2.200000,0.400000,137.224971,100.0,100.0
2019/11/13,1.485000,2.600000,0.300000,130.565267,96.9,100.0
2019/11/14,1.513924,2.700000,0.300000,83.407805,99.3,100.0
2019/11/15,1.209677,3.400000,0.200000,86.959223,97.6,100.0
2019/11/16,1.291304,3.300000,0.500000,91.781081,100.0,100.0
2019/11/17,2.016364,4.600000,0.200000,48.305529,96.9,100.0
2019/11/18,1.588608,3.700000,0.300000,141.007664,95.8,100.0
2019/11/19,1.747222,4.100000,0.100000,260.869301,97.6,100.0
2019/11/20,0.000000,,,,97.2,100.0
2019/11/21,1.995062,3.300000,0.300000,43.446103,99.0,100.0
2019/11/22,2.024490,3.700000,0.400000,48.794271,99.7,100.0
2019/11/23,1.505435,5.900000,0.200000,137.453496,97.2,100.0
2019/11/24,1.672549,3.500000,0.400000,92.122640,98.6,100.0
2019/11/25,1.020000,1.800000,0.500000,327.012408,99.3,100.0
2019/11/26,0.000000,,,,98.3,100.0
2019/11/27,0.366667,1.000000,0.000000,208.500000,93.1,100.0
2019/11/28,0.000000,,,,97.6,100.0
2019/11/29,0.657143,1.000000,0.400000,223.206811,99.3,100.0
2019/11/30,0.250000,0.400000,0.100000,315.500000,98.6,100.0
2019/12/01,0.958333,1.800000,0.100000,181.510417,100.0,100.0
2019/12/02,1.130000,2.000000,0.500000,318.560084,95.1,100.0
2019/12/03,1.334545,4.300000,0.000000,222.269996,94.4,100.0
2019/12/04,1.234375,4.000000,0.100000,273.668328,98.6,100.0
2019/12/05,0.000000,,,,97.9,100.0
2019/12/06,0.000000,,,,93.1,100.0
2019/12/07,0.400000,0.700000,0.100000,318.000000,100.0,100.0
2019/12/08,0.850000,2.700000,0.300000,306.994110,98.6,100.0
2019/12/09,1.325000,3.200000,0.000000,91.992122,98.3,100.0
2019/12/10,1.083871,2.100000,0.300000,178.040405,98.3,100.0
2019/12/11,0.000000,,,,94.5,100.0
2019/12/12,0.927273,1.300000,0.500000,268.640310,94.5,100.0
2019/12/13,0.000000,,,,94.8,100.0
2019/12/14,1.848148,3.900000,0.200000,88.964908,90.3,100.0
2019/12/15,1.717241,4.000000,0.300000,8.865005,93.4,100.0
2019/12/16,1.944000,4.600000,0.200000,6.760539,96.9,100.0
2019/12/17,2.424000,5.500000,0.600000,1.051972,99.7,100.0
2019/12/18,0.000000,,,,99.7,100.0
2019/12/19,1.187879,2.300000,0.300000,271.853254,96.5,100.0
2019/12/20,2.387288,4.400000,0.200000,41.456142,98.6,100.0
2019/12/21,2.534884,4.600000,0.300000,95.077772,97.9,100.0
2019/12/22,1.116667,2.200000,0.400000,178.597672,99.3,100.0
2019/12/23,2.940426,4.900000,0.300000,12.365415,97.6,100.0
2019/12/24,2.431373,4.800000,0.200000,9.783943,96.2,100.0
2019/12/25,0.000000,,,,96.2,100.0
2019/12/26,3.090909,5.400000,0.800000,94.548509,98.3,100.0
2019/12/27,1.923256,3.600000,0.600000,137.807729,96.2,95.8
2019/12/28,2.180952,4.200000,0.300000,91.047958,97.2,100.0
2019/12/29,1.162500,2.100000,0.500000,318.986836,94.5,100.0
2019/12/30,1.452308,2.700000,0.400000,86.816076,96.5,100.0
2019/12/31,1.306410,2.200000,0.300000,133.659691,98.3,100.0
2020/01/01,1.010000,1.600000,0.400000,174.354380,98.6,100.0
2020/01/02,1.900000,2.900000,0.200000,5.269798,97.6,100.0
2020/01/03,0.572727,1.000000,0.300000,270.150873,96.9,100.0
2020/01/04,1.219048,3.700000,0.300000,261.909955,99.0,100.0
2020/01/05,1.500000,3.100000,0.300000,255.696431,98.6,100.0
2020/01/06,1.981481,3.800000,0.100000,40.087387,97.6,100.0
2020/01/07,0.812500,1.500000,0.200000,319.240600,100.0,100.0
2020/01/08,1.573529,4.600000,0.500000,88.820211,99.0,100.0
2020/01/09,1.182353,2.100000,0.400000,264.601901,98.3,100.0
2020/01/10,4.082243,7.300000,0.100000,97.860356,98.6,100.0
2020/01/11,1.063636,1.600000,0.300000,358.089978,99.7,100.0
2020/01/12,0.957143,1.700000,0.500000,258.635525,97.6,100.0
2020/01/13,0.977778,1.700000,0.300000,266.028294,98.6,100.0
2020/01/14,1.025581,1.800000,0.200000,256.787460,95.8,100.0
2020/01/15,2.963462,5.900000,0.100000,88.201200,99.7,100.0
2020/01/16,0.400000,0.700000,0.100000,10.500000,98.3,100.0
2020/01/17,1.000000,1.000000,1.000000,336.000000,99.7,100.0
2020/01/18,4.035897,6.400000,1.200000,98.849025,98.6,100.0
2020/01/19,1.274194,2.300000,0.400000,259.073721,99.3,100.0
2020/01/20,2.225862,4.400000,0.500000,43.508435,99.7,100.0
2020/01/21,1.543333,3.200000,0.200000,271.827697,99.3,100.0
2020/01/22,1.798000,3.000000,0.200000,41.985591,99.7,100.0
2020/01/23,2.011765,4.100000,0.500000,48.913097,99.7,100.0
2020/01/24,1.933962,4.000000,0.500000,134.216178,99.7,100.0
2020/01/25,1.273469,2.900000,0.300000,225.895656,99.7,100.0
2020/01/26,1.393333,2.800000,0.300000,221.557217,99.7,100.0
2020/01/27,1.282609,2.400000,0.200000,221.899886,99.0,100.0
2020/01/28,1.860000,3.200000,0.400000,93.142994,99.7,100.0
2020/01/29,1.638710,2.700000,0.100000,47.532809,99.0,100.0
2020/01/30,2.729762,4.600000,0.400000,44.749209,100.0,100.0
2020/01/31,3.119231,6.900000,0.500000,89.731685,99.0,100.0
2020/02/01,0.797059,1.500000,0.200000,224.013064,99.7,100.0
2020/02/02,0.985714,1.600000,0.200000,309.538143,99.3,100.0
2020/02/03,2.821739,5.100000,0.000000,5.600176,99.7,100.0
2020/02/04,1.488889,3.900000,0.200000,94.698866,100.0,100.0
2020/02/05,1.503333,2.800000,0.200000,220.151028,98.6,100.0
2020/02/06,2.197778,3.600000,0.600000,43.046727,99.0,100.0
2020/02/07,1.183333,2.600000,0.300000,307.993762,99.3,100.0
2020/02/08,0.900000,2.000000,0.300000,303.101419,99.7,100.0
2020/02/09,2.455556,3.300000,1.300000,264.766230,99.0,100.0
2020/02/10,1.580488,4.700000,0.100000,133.668785,99.3,100.0
2020/02/11,1.989474,4.100000,0.500000,86.938392,99.0,100.0
2020/02/12,0.980769,1.500000,0.100000,264.721147,97.9,100.0
2020/02/13,1.556164,4.500000,0.200000,139.523944,100.0,100.0
2020/02/14,1.172917,2.700000,0.300000,176.540759,98.3,100.0
2020/02/15,3.000000,4.600000,0.100000,2.399202,99.3,100.0
2020/02/16,2.406522,3.900000,0.700000,89.123474,97.9,100.0
2020/02/17,3.077049,6.000000,0.500000,131.378687,100.0,100.0
2020/02/18,0.500000,0.800000,0.100000,317.494897,97.9,100.0
2020/02/19,1.372727,2.400000,0.300000,266.702493,99.7,100.0
2020/02/20,2.885714,4.200000,0.200000,3.896891,98.3,100.0
2020/02/21,2.680000,3.600000,1.700000,6.871752,99.0,100.0
2020/02/22,1.520000,2.600000,0.100000,357.530643,97.2,100.0
2020/02/23,1.339474,3.400000,0.200000,359.007176,99.0,100.0
2020/02/24,0.917391,2.100000,0.100000,225.779735,99.7,100.0
2020/02/25,1.725000,3.600000,0.500000,16.236665,98.6,100.0
2020/02/26,0.622222,1.300000,0.100000,316.676431,97.9,100.0
2020/02/27,1.984211,2.600000,1.100000,1.380084,98.3,100.0
2020/02/28,1.456522,3.100000,0.200000,95.075054,97.2,100.0
2020/02/29,1.448387,2.800000,0.500000,89.023521,99.0,100.0
2020/03/01,1.106667,2.400000,0.500000,176.672041,98.6,100.0
2020/03/02,1.495652,2.800000,0.200000,130.355777,98.6,100.0
2020/03/03,2.298113,5.100000,0.400000,83.635078,98.3,100.0
2020/03/04,1.346512,3.500000,0.000000,137.803714,95.8,95.8
2020/03/05,1.191176,3.200000,0.200000,231.811985,100.0,100.0
2020/03/06,0.892308,3.700000,0.200000,177.632356,97.9,100.0
2020/03/07,1.669841,3.500000,0.100000,50.091021,99.3,100.0
2020/03/08,1.762162,3.800000,0.500000,92.550886,99.7,100.0
2020/03/09,1.476786,5.000000,0.500000,139.051250,99.7,100.0
2020/03/10,1.114286,2.600000,0.100000,223.660290,100.0,100.0
2020/03/11,0.788889,1.700000,0.100000,321.564645,100.0,100.0
2020/03/12,1.534091,3.600000,0.300000,220.470516,99.0,100.0
2020/03/13,0.983333,1.900000,0.100000,306.678827,97.9,100.0
2020/03/14,1.363636,2.400000,0.300000,12.764629,100.0,100.0
2020/03/15,2.075472,3.600000,0.300000,48.806889,99.0,100.0
2020/03/16,1.901408,4.400000,0.400000,91.933901,99.0,100.0
2020/03/17,1.731707,3.600000,0.300000,226.962052,96.9,100.0
2020/03/18,1.982222,4.500000,0.200000,224.903377,99.0,100.0
2020/03/19,2.538095,5.300000,0.400000,1.492144,95.8,100.0
2020/03/20,0.970588,1.900000,0.500000,176.382715,98.6,100.0
2020/03/21,1.216364,2.600000,0.100000,92.027722,98.6,100.0
2020/03/22,1.481579,2.800000,0.100000,93.977247,97.9,100.0
2020/03/23,1.480328,3.000000,0.200000,134.379335,95.5,100.0
2020/03/24,2.125532,4.200000,0.100000,44.213463,95.2,100.0
2020/03/25,1.951563,3.400000,0.300000,48.527456,97.2,100.0
2020/03/26,0.533333,0.800000,0.300000,319.351368,98.3,100.0
2020/03/27,2.116667,2.700000,1.600000,263.199944,97.9,100.0
2020/03/28,2.084615,4.200000,0.500000,41.507539,98.3,100.0
2020/03/29,0.902564,1.600000,0.100000,175.406190,98.3,100.0
2020/03/30,0.518182,1.200000,0.000000,272.827723,98.3,100.0
2020/03/31,0.566667,0.700000,0.500000,310.970093,96.2,100.0
2020/04/01,0.360000,0.800000,0.100000,314.544966,96.2,100.0
2020/04/02,1.522581,3.900000,0.200000,261.544955,97.9,100.0
2020/04/03,2.841935,4.700000,1.300000,98.564136,97.9,100.0
2020/04/04,1.096667,2.100000,0.600000,265.288834,99.3,100.0
2020/04/05,1.077778,2.400000,0.100000,178.122822,97.6,100.0
2020/04/06,0.940000,1.400000,0.600000,311.767116,98.3,100.0
2020/04/07,1.092308,1.800000,0.400000,316.492105,97.9,100.0
2020/04/08,2.870000,5.600000,0.500000,9.035522,97.9,100.0
2020/04/09,2.548438,4.600000,0.300000,95.050952,99.0,100.0
2020/04/10,1.134783,2.200000,0.300000,224.622985,98.6,100.0
2020/04/11,1.428814,3.600000,0.200000,264.852242,98.3,100.0
2020/04/12,1.107692,2.600000,0.300000,266.719275,98.6,100.0
2020/04/13,1.502778,2.900000,0.600000,225.399970,97.2,100.0
2020/04/14,1.400000,3.600000,0.200000,224.317118,99.3,100.0
2020/04/15,1.980000,4.200000,0.600000,42.291424,97.6,100.0
2020/04/16,0.993617,2.300000,0.300000,179.705800,98.3,100.0
2020/04/17,1.117647,2.000000,0.200000,176.068773,97.6,100.0
2020/04/18,1.715000,2.800000,0.400000,89.841777,97.2,100.0
2020/04/19,1.662500,4.500000,0.300000,264.031649,97.9,100.0
2020/04/20,1.800000,3.400000,0.400000,260.247859,99.0,100.0
2020/04/21,0.800000,0.800000,0.800000,280.000000,97.6,100.0
2020/04/22,0.854167,1.500000,0.200000,177.661954,98.6,100.0
2020/04/23,0.922222,1.300000,0.400000,272.002480,99.0,100.0
2020/04/24,0.700000,1.200000,0.100000,310.299743,99.3,100.0
2020/04/25,0.625000,1.000000,0.300000,309.217167,98.6,100.0
2020/04/26,1.201266,3.500000,0.200000,224.353926,99.0,100.0
2020/04/27,1.671429,3.300000,0.100000,40.991829,99.7,100.0
2020/04/28,1.685294,3.200000,0.100000,45.537826,97.9,100.0
2020/04/29,0.542857,0.900000,0.400000,308.734044,99.3,100.0
2020/04/30,1.233333,2.800000,0.300000,359.787026,99.0,100.0
2020/05/01,1.802857,3.700000,0.000000,45.330359,99.0,100.0
2020/05/02,1.944118,3.800000,0.200000,89.263163,99.0,100.0
2020/05/03,1.223188,3.400000,0.200000,226.784144,98.3,100.0
2020/05/04,0.989583,1.600000,0.200000,176.649737,98.6,100.0
2020/05/05,2.069767,3.700000,0.100000,91.301938,98.3,100.0
2020/05/06,1.790000,3.400000,0.100000,6.673395,98.3,100.0
2020/05/07,0.750000,1.200000,0.100000,263.039618,96.9,100.0
2020/05/08,2.317391,4.500000,0.600000,141.227184,99.0,100.0
2020/05/09,2.090000,3.700000,0.300000,49.493870,97.6,100.0
2020/05/10,1.922857,4.400000,0.100000,8.829979,97.9,100.0
2020/05/11,1.637500,3.200000,0.300000,88.650425,97.2,100.0
2020/05/12,2.564286,4.200000,0.600000,11.675229,99.0,100.0
2020/05/13,0.892500,1.600000,0.100000,222.949694,98.3,100.0
2020/05/14,1.394643,2.400000,0.300000,138.884420,99.3,100.0
2020/05/15,0.600000,1.200000,0.000000,260.816373,98.6,100.0
2020/05/16,1.100000,1.100000,1.100000,22.000000,99.7,100.0
2020/05/17,1.490476,2.800000,0.300000,232.203240,98.6,100.0
2020/05/18,1.728000,4.200000,0.200000,48.451769,99.0,100.0
2020/05/19,1.345238,3.300000,0.400000,140.701932,99.3,100.0
2020/05/20,1.772043,5.000000,0.400000,133.989101,99.3,100.0
2020/05/21,2.854167,5.600000,0.600000,128.436396,98.3,100.0
2020/05/22,2.320968,4.400000,0.800000,41.313252,99.0,100.0
2020/05/23,1.057143,2.200000,0.300000,270.502155,97.2,100.0
2020/05/24,3.032558,7.000000,0.200000,94.336965,97.6,100.0
2020/05/25,1.600000,2.900000,0.400000,3.837132,99.3,100.0
2020/05/26,1.093333,2.200000,0.100000,261.238385,99.3,100.0
2020/05/27,2.104762,4.500000,0.700000,91.639150,98.6,100.0
2020/05/28,1.011538,1.900000,0.200000,172.990857,98.3,100.0
2020/05/29,1.925000,4.400000,0.300000,10.628702,94.8,95.8
2020/05/30,1.340984,3.200000,0.100000,135.185691,96.2,100.0
2020/05/31,1.816667,3.900000,0.100000,49.973245,99.0,100.0
2020/06/01,0.754545,1.300000,0.400000,226.901836,99.7,100.0
2020/06/02,1.469231,3.000000,0.300000,137.868670,97.6,100.0
2020/06/03,0.972000,2.900000,0.000000,234.032682,98.3,100.0
2020/06/04,1.424000,2.800000,0.300000,134.493097,99.3,100.0
2020/06/05,1.811765,4.000000,0.200000,11.368806,100.0,100.0
2020/06/06,1.700000,3.600000,0.300000,225.962791,99.3,100.0
2020/06/07,2.505882,3.900000,0.500000,45.593391,99.0,100.0
2020/06/08,1.335714,2.700000,0.400000,261.403401,98.6,100.0
2020/06/09,1.272414,3.200000,0.400000,176.255777,100.0,100.0
2020/06/10,1.467308,3.000000,0.200000,91.392746,98.3,100.0
2020/06/11,1.794444,3.200000,0.300000,94.178965,98.6,100.0
2020/06/12,0.550000,0.900000,0.200000,310.819061,99.0,100.0
2020/06/13,1.355556,3.100000,0.200000,95.510119,98.6,100.0
2020/06/14,1.145161,1.900000,0.500000,178.347415,99.3,100.0
2020/06/15,1.286364,2.200000,0.400000,180.219897,100.0,100.0
2020/06/16,2.248571,4.900000,0.100000,43.419188,96.9,100.0
2020/06/17,1.917647,3.500000,0.200000,358.271356,99.3,100.0
2020/06/18,0.850000,1.500000,0.300000,323.294421,99.3,100.0
2020/06/19,1.648276,3.700000,0.200000,88.260706,99.7,100.0
2020/06/20,2.028205,4.700000,0.300000,48.591813,100.0,100.0
2020/06/21,1.792593,3.400000,0.100000,8.239748,97.9,100.0
2020/06/22,0.637500,1.900000,0.200000,313.871637,99.0,100.0
2020/06/23,1.761702,4.000000,0.200000,135.062888,98.6,100.0
2020/06/24,1.872727,5.300000,0.100000,89.696731,99.0,100.0
2020/06/25,1.697826,3.200000,0.000000,222.743888,98.6,100.0
