fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2019/11/09,1.293333,2.400000,0.300000,5.827143,99.7,100.0
2019/11/10,1.635714,4.000000,0.200000,1.549814,99.7,100.0
2019/11/11,0.833333,2.000000,0.200000,311.611703,100.0,100.0
2019/11/12,2.120690,4.300000,0.000000,0.316130,100.0,100.0
2019/11/13,1.411111,3.400000,0.200000,279.675806,100.0,100.0
2019/11/14,2.087500,3.400000,1.100000,282.726998,100.0,100.0
2019/11/15,1.567797,2.800000,0.100000,310.941304,99.7,100.0
2019/11/16,1.568519,3.000000,0.200000,90.182186,100.0,100.0
2019/11/17,2.267742,4.200000,0.700000,358.058477,100.0,100.0
2019/11/18,1.946667,4.400000,0.600000,357.372325,99.7,100.0
2019/11/19,1.882353,3.600000,0.600000,310.652450,100.0,100.0
2019/11/20,2.603704,4.300000,0.300000,321.790028,100.0,100.0
2019/11/21,0.903448,1.700000,0.200000,227.592276,99.7,100.0
2019/11/22,1.993939,4.200000,0.500000,1.463700,99.7,100.0
2019/11/23,4.293939,6.600000,0.400000,312.368752,100.0,100.0
2019/11/24,2.173684,4.300000,0.000000,318.945009,99.7,100.0
2019/11/25,0.778571,1.500000,0.100000,180.819368,100.0,100.0
2019/11/26,0.700000,1.200000,0.200000,256.500000,100.0,100.0
2019/11/27,1.500000,3.500000,0.500000,9.465379,99.7,100.0
2019/11/28,0.640000,1.200000,0.100000,181.093728,100.0,100.0
2019/11/29,0.560000,0.900000,0.100000,181.149341,100.0,100.0
2019/11/30,0.320000,0.500000,0.200000,239.782617,98.6,100.0
2019/12/01,0.671429,1.100000,0.200000,307.668398,100.0,100.0
2019/12/02,2.033962,3.400000,0.100000,88.730081,100.0,100.0
2019/12/03,2.818750,4.600000,0.100000,315.955318,100.0,100.0
2019/12/04,0.366667,0.700000,0.100000,234.587632,100.0,100.0
2019/12/05,2.686667,4.600000,0.700000,315.709387,100.0,100.0
2019/12/06,1.151852,2.300000,0.000000,359.140921,100.0,100.0
2019/12/07,2.873684,4.100000,0.800000,319.976647,100.0,100.0
2019/12/08,1.021875,3.700000,0.200000,93.720175,100.0,100.0
2019/12/09,1.300000,4.100000,0.200000,358.377355,100.0,100.0
2019/12/10,0.800000,0.900000,0.700000,262.000000,100.0,100.0
2019/12/11,0.957143,2.200000,0.200000,90.098228,100.0,100.0
2019/12/12,1.660526,3.200000,0.100000,89.472160,100.0,100.0
2019/12/13,1.726027,3.700000,0.200000,86.175888,100.0,100.0
2019/12/14,0.488235,0.900000,0.100000,181.576039,100.0,100.0
2019/12/15,1.323529,3.100000,0.200000,315.419935,100.0,100.0
2019/12/16,3.467742,4.500000,2.600000,322.809017,100.0,100.0
2019/12/17,1.668687,3.100000,0.100000,88.267481,100.0,100.0
2019/12/18,2.991429,4.900000,0.500000,307.899895,98.6,100.0
2019/12/19,0.511765,1.000000,0.100000,224.178731,98.3,100.0
2019/12/20,0.766667,1.000000,0.300000,326.402165,99.7,100.0
2019/12/21,1.482857,2.900000,0.400000,3.105299,99.7,100.0
2019/12/22,2.393939,4.500000,0.200000,50.987327,97.6,100.0
2019/12/23,0.000000,,,,99.7,100.0
2019/12/24,1.480000,3.600000,0.300000,359.632805,100.0,100.0
2019/12/25,0.925000,2.000000,0.300000,179.524008,100.0,100.0
2019/12/26,2.390909,4.700000,0.400000,60.276214,99.7,100.0
2019/12/27,0.509091,0.900000,0.100000,183.523867,99.3,100.0
2019/12/28,1.790361,3.500000,0.100000,84.499581,100.0,100.0
2019/12/29,1.642553,3.700000,0.100000,86.296507,99.7,100.0
2019/12/30,2.373684,5.100000,0.300000,282.247786,99.0,100.0
2019/12/31,2.056044,3.400000,0.500000,49.800261,98.6,100.0
2020/01/01,1.479592,2.300000,0.300000,86.877563,99.3,100.0
2020/01/02,1.500000,3.500000,0.200000,82.364793,99.0,100.0
2020/01/03,2.617391,4.100000,0.400000,320.131413,97.2,100.0
2020/01/04,2.342424,4.500000,0.900000,356.102640,100.0,100.0
2020/01/05,0.000000,,,,99.7,100.0
2020/01/06,0.000000,,,,99.3,100.0
2020/01/07,0.218182,0.400000,0.000000,178.094931,99.7,100.0
2020/01/08,0.750000,1.500000,0.300000,184.725897,100.0,100.0
2020/01/09,0.662500,0.900000,0.300000,306.965439,99.7,100.0
2020/01/10,3.043750,4.800000,0.400000,100.375026,99.7,100.0
2020/01/11,2.497143,6.600000,0.100000,125.407740,100.0,100.0
2020/01/12,0.897531,2.000000,0.200000,180.158153,99.7,100.0
2020/01/13,3.151163,4.600000,0.400000,92.259004,99.7,100.0
2020/01/14,2.350000,3.900000,0.800000,313.547953,100.0,100.0
2020/01/15,2.414286,2.900000,1.700000,320.484034,99.7,100.0
2020/01/16,0.000000,,,,99.7,100.0
