fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2019/11/06,0.442857,0.800000,0.300000,4.675578,100.0,100.0
2019/11/07,1.773864,3.100000,0.200000,315.855120,100.0,100.0
2019/11/08,0.622222,1.100000,0.100000,2.392471,100.0,100.0
2019/11/09,0.450000,0.700000,0.000000,355.408920,100.0,100.0
2019/11/10,0.300000,0.600000,0.000000,51.066775,100.0,100.0
2019/11/11,0.547253,1.700000,0.000000,316.183612,99.3,100.0
2019/11/12,0.150000,0.300000,0.000000,217.081682,100.0,100.0
2019/11/13,0.563793,1.400000,0.100000,318.219113,100.0,100.0
2019/11/14,0.157143,0.300000,0.000000,275.697977,100.0,100.0
2019/11/15,0.287500,0.700000,0.100000,229.940121,99.7,100.0
2019/11/16,0.233333,0.400000,0.000000,278.604024,100.0,100.0
2019/11/17,0.580952,1.900000,0.000000,314.340112,100.0,100.0
2019/11/18,0.850000,2.600000,0.100000,101.735021,100.0,100.0
2019/11/19,0.957282,2.600000,0.000000,312.671854,100.0,100.0
2019/11/20,0.872603,2.700000,0.000000,317.761300,100.0,100.0
2019/11/21,0.250000,0.500000,0.000000,245.000000,100.0,100.0
2019/11/22,0.285714,0.500000,0.100000,357.415042,100.0,100.0
2019/11/23,0.600000,1.200000,0.200000,1.609390,100.0,100.0
2019/11/24,0.200000,0.200000,0.200000,3.000000,100.0,100.0
2019/11/25,0.777778,1.700000,0.300000,275.248634,100.0,100.0
2019/11/26,1.384459,2.600000,0.300000,313.601709,100.0,100.0
2019/11/27,1.390000,2.200000,0.300000,170.272347,100.0,100.0
2019/11/28,0.310000,0.500000,0.100000,273.754215,100.0,100.0
2019/11/29,0.200000,0.400000,0.100000,58.750000,100.0,100.0
2019/11/30,1.313139,3.000000,0.100000,130.460043,98.6,100.0
2019/12/01,0.866667,1.000000,0.700000,110.000000,100.0,100.0
2019/12/02,1.109091,2.000000,0.300000,214.785294,100.0,100.0
2019/12/03,0.400000,0.500000,0.200000,216.247034,100.0,100.0
2019/12/04,0.650000,1.700000,0.000000,224.521940,100.0,100.0
2019/12/05,1.372897,2.600000,0.200000,132.757382,100.0,100.0
2019/12/06,0.720000,4.300000,0.000000,171.390707,100.0,100.0
2019/12/07,0.471429,1.200000,0.000000,315.542880,100.0,100.0
