fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2019/07/23,,,,,
2019/07/24,,,,,
2019/07/25,,,,,
2019/07/26,,,,,
2019/07/27,,,,,
2019/07/28,,,,,
2019/07/29,,,,,
2019/07/30,,,,,
2019/07/31,,,,,
2019/08/01,,,,,
2019/08/02,,,,,
2019/08/03,,,,,
2019/08/04,,,,,
2019/08/05,,,,,
2019/08/06,,,,,
2019/08/07,,,,,
2019/08/08,,,,,
2019/08/09,,,,,
2019/08/10,,,,,
2019/08/11,,,,,
2019/08/12,,,,,
2019/08/13,,,,,
2019/08/14,,,,,
2019/08/15,,,,,
2019/08/16,,,,44.4,41.7
2019/08/17,9.821,16.30,4.30,100.0,100.0
2019/08/18,10.130,17.50,4.30,100.0,100.0
2019/08/19,9.587,16.00,4.80,100.0,100.0
2019/08/20,8.873,14.50,5.20,100.0,100.0
2019/08/21,9.024,14.40,4.50,100.0,100.0
2019/08/22,10.056,15.50,6.10,100.0,100.0
2019/08/23,9.515,14.80,5.20,100.0,100.0
2019/08/24,9.973,14.70,5.90,100.0,100.0
2019/08/25,10.711,16.60,6.40,100.0,100.0
2019/08/26,10.528,16.80,6.30,100.0,100.0
2019/08/27,10.538,15.50,7.00,100.0,100.0
2019/08/28,10.554,15.50,6.80,100.0,100.0
2019/08/29,10.158,15.70,5.20,99.3,100.0
2019/08/30,9.809,17.50,4.00,100.0,100.0
2019/08/31,10.293,16.70,5.10,100.0,100.0
2019/09/01,10.120,16.20,5.40,100.0,100.0
2019/09/02,10.278,18.30,4.00,100.0,100.0
2019/09/03,10.830,17.60,5.00,100.0,100.0
2019/09/04,10.411,18.00,5.70,100.0,100.0
2019/09/05,10.786,16.40,5.40,100.0,100.0
2019/09/06,10.604,16.20,6.20,100.0,100.0
2019/09/07,10.913,17.10,6.00,100.0,100.0
2019/09/08,10.281,16.30,5.30,100.0,100.0
2019/09/09,10.120,16.90,5.20,100.0,100.0
2019/09/10,10.770,18.50,6.10,100.0,100.0
2019/09/11,10.606,18.60,5.20,100.0,100.0
2019/09/12,11.377,17.10,7.50,100.0,100.0
2019/09/13,11.201,17.00,7.20,100.0,100.0
2019/09/14,10.511,16.90,5.80,100.0,100.0
2019/09/15,10.398,15.60,6.10,100.0,100.0
2019/09/16,9.819,16.80,4.00,100.0,100.0
2019/09/17,10.398,17.30,5.10,100.0,100.0
2019/09/18,9.633,15.30,5.10,100.0,100.0
2019/09/19,9.639,15.60,7.30,100.0,100.0
2019/09/20,9.333,16.20,5.70,100.0,100.0
2019/09/21,9.962,14.90,6.60,100.0,100.0
2019/09/22,9.829,16.90,5.20,100.0,100.0
2019/09/23,9.084,14.70,4.00,100.0,100.0
2019/09/24,9.517,16.20,5.70,100.0,100.0
2019/09/25,9.482,15.00,5.90,100.0,100.0
2019/09/26,10.427,17.80,5.00,100.0,100.0
2019/09/27,10.798,17.30,6.20,100.0,100.0
2019/09/28,10.544,16.50,6.20,100.0,100.0
2019/09/29,9.930,17.00,5.10,100.0,100.0
2019/09/30,9.322,14.90,5.80,100.0,100.0
2019/10/01,9.963,16.30,5.20,100.0,100.0
2019/10/02,10.341,16.40,6.90,100.0,100.0
2019/10/03,8.494,12.30,6.00,100.0,100.0
2019/10/04,9.651,16.10,5.50,100.0,100.0
2019/10/05,9.469,16.00,4.20,100.0,100.0
2019/10/06,8.902,14.50,5.10,85.1,83.3
2019/10/07,9.713,14.90,5.20,100.0,100.0
2019/10/08,8.757,13.70,5.90,100.0,100.0
2019/10/09,10.108,15.10,5.30,100.0,100.0
2019/10/10,10.439,13.90,7.20,100.0,100.0
2019/10/11,10.372,14.40,5.90,100.0,100.0
2019/10/12,10.371,16.80,5.00,100.0,100.0
2019/10/13,9.368,15.10,4.90,100.0,100.0
2019/10/14,9.163,16.00,3.60,100.0,100.0
2019/10/15,9.378,14.10,5.60,100.0,100.0
2019/10/16,9.717,15.10,5.00,100.0,100.0
2019/10/17,9.333,16.00,5.80,100.0,100.0
2019/10/18,9.371,15.40,5.20,100.0,100.0
2019/10/19,9.489,15.50,6.70,99.7,100.0
2019/10/20,8.619,12.70,6.30,100.0,100.0
2019/10/21,9.106,13.90,5.00,100.0,100.0
2019/10/22,8.837,13.50,4.90,100.0,100.0
2019/10/23,8.241,11.00,6.70,100.0,100.0
2019/10/24,8.044,14.40,5.50,100.0,100.0
2019/10/25,8.993,14.90,5.30,99.7,100.0
2019/10/26,9.566,14.20,6.50,100.0,100.0
2019/10/27,10.382,15.60,6.70,100.0,100.0
2019/10/28,10.809,17.00,6.30,100.0,100.0
2019/10/29,9.722,14.80,4.90,100.0,100.0
2019/10/30,9.398,15.90,6.10,100.0,100.0
2019/10/31,9.831,15.30,5.10,100.0,100.0
2019/11/01,9.826,16.40,5.40,100.0,100.0
2019/11/02,9.911,14.50,5.90,100.0,100.0
2019/11/03,10.677,15.70,6.50,100.0,100.0
2019/11/04,10.931,17.20,6.40,100.0,100.0
2019/11/05,10.956,17.70,5.70,100.0,100.0
2019/11/06,10.484,16.20,5.60,100.0,100.0
2019/11/07,10.402,16.00,7.10,100.0,100.0
2019/11/08,11.356,17.20,6.00,100.0,100.0
2019/11/09,10.679,16.10,6.50,100.0,100.0
2019/11/10,10.414,15.50,6.90,100.0,100.0
2019/11/11,9.050,11.00,7.80,99.7,100.0
2019/11/12,9.499,12.40,7.20,100.0,100.0
2019/11/13,9.224,13.00,8.00,100.0,100.0
2019/11/14,9.698,14.50,7.50,100.0,100.0
2019/11/15,8.837,11.70,7.40,99.7,100.0
2019/11/16,9.106,12.00,7.40,100.0,100.0
2019/11/17,10.399,15.60,7.80,100.0,100.0
2019/11/18,9.992,16.50,6.70,100.0,100.0
2019/11/19,8.989,15.20,6.20,100.0,100.0
2019/11/20,9.962,15.70,7.10,100.0,100.0
2019/11/21,9.401,12.50,6.70,100.0,100.0
