fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2019/07/23,,,,,
2019/07/24,,,,,
2019/07/25,,,,,
2019/07/26,,,,,
2019/07/27,,,,,
2019/07/28,,,,,
2019/07/29,,,,,
2019/07/30,,,,,
2019/07/31,,,,,
2019/08/01,,,,,
2019/08/02,,,,,
2019/08/03,,,,,
2019/08/04,,,,,
2019/08/05,,,,,
2019/08/06,,,,,
2019/08/07,,,,,
2019/08/08,,,,,
2019/08/09,,,,,
2019/08/10,,,,,
2019/08/11,,,,,
2019/08/12,,,,,
2019/08/13,,,,,
2019/08/14,,,,,
2019/08/15,,,,,
2019/08/16,,,,44.4,41.7
2019/08/17,65.680555,84.000000,40.000000,100.0,100.0
2019/08/18,64.100694,86.000000,34.000000,100.0,100.0
2019/08/19,64.006944,81.000000,43.000000,100.0,100.0
2019/08/20,67.270833,82.000000,46.000000,100.0,100.0
2019/08/21,64.868056,84.000000,43.000000,100.0,100.0
2019/08/22,64.024306,83.000000,41.000000,100.0,100.0
2019/08/23,63.211805,81.000000,42.000000,100.0,100.0
2019/08/24,62.854167,76.000000,47.000000,100.0,100.0
2019/08/25,56.697917,76.000000,39.000000,100.0,100.0
2019/08/26,59.027778,77.000000,36.000000,100.0,100.0
2019/08/27,59.989583,76.000000,42.000000,100.0,100.0
2019/08/28,63.211806,81.000000,44.000000,100.0,100.0
2019/08/29,59.986806,81.000000,38.000000,99.3,100.0
2019/08/30,49.305556,76.000000,22.000000,100.0,100.0
2019/08/31,61.920139,81.000000,38.000000,100.0,100.0
2019/09/01,63.104167,83.000000,40.000000,100.0,100.0
2019/09/02,61.878472,88.000000,32.000000,100.0,100.0
2019/09/03,60.798611,83.000000,35.000000,100.0,100.0
2019/09/04,69.878472,86.000000,40.000000,100.0,100.0
2019/09/05,65.399306,83.000000,42.000000,100.0,100.0
2019/09/06,64.006945,86.000000,41.000000,100.0,100.0
2019/09/07,60.538195,83.000000,33.000000,100.0,100.0
2019/09/08,53.711806,80.000000,30.000000,100.0,100.0
2019/09/09,55.109533,73.000000,40.000000,99.7,100.0
2019/09/10,58.621528,81.000000,37.000000,100.0,100.0
2019/09/11,66.236111,85.000000,34.000000,100.0,100.0
2019/09/12,71.944444,96.000000,42.000000,100.0,100.0
2019/09/13,61.907828,85.000000,38.000000,99.7,100.0
2019/09/14,63.315972,80.000000,42.000000,100.0,100.0
2019/09/15,68.311237,85.000000,46.000000,99.7,100.0
2019/09/16,58.201389,81.000000,36.000000,100.0,100.0
2019/09/17,66.180556,99.000000,37.000000,100.0,100.0
2019/09/18,82.440972,99.000000,51.000000,100.0,100.0
2019/09/19,90.767361,100.000000,61.000000,100.0,100.0
2019/09/20,83.899306,97.000000,49.000000,100.0,100.0
2019/09/21,74.756944,97.000000,49.000000,100.0,100.0
2019/09/22,69.022727,92.000000,38.000000,99.7,100.0
2019/09/23,72.003472,95.000000,46.000000,100.0,100.0
2019/09/24,77.210859,96.000000,46.000000,99.7,100.0
2019/09/25,73.904609,95.000000,52.000000,97.9,100.0
2019/09/26,68.267045,87.000000,37.000000,99.0,100.0
2019/09/27,69.952020,91.000000,42.000000,97.6,100.0
2019/09/28,76.243561,98.000000,47.000000,95.8,100.0
2019/09/29,78.344066,99.000000,40.000000,97.6,100.0
2019/09/30,89.252525,100.000000,56.000000,97.6,100.0
2019/10/01,81.645518,97.000000,43.000000,96.9,100.0
2019/10/02,78.982639,98.000000,48.000000,97.9,100.0
2019/10/03,87.124684,97.000000,60.000000,98.3,100.0
2019/10/04,76.123106,94.000000,42.000000,99.7,100.0
2019/10/05,76.465278,99.000000,44.000000,99.3,100.0
2019/10/06,84.559229,99.000000,38.000000,94.5,91.7
2019/10/07,83.305556,99.000000,52.000000,100.0,100.0
2019/10/08,79.666667,96.000000,54.000000,100.0,100.0
2019/10/09,70.982639,97.000000,47.000000,100.0,100.0
2019/10/10,70.937500,88.000000,51.000000,100.0,100.0
2019/10/11,70.625000,89.000000,51.000000,100.0,100.0
2019/10/12,70.416667,91.000000,41.000000,100.0,100.0
2019/10/13,78.072917,96.000000,50.000000,100.0,100.0
2019/10/14,69.795139,89.000000,40.000000,100.0,100.0
2019/10/15,74.246528,91.000000,54.000000,100.0,100.0
2019/10/16,79.427083,99.000000,52.000000,100.0,100.0
2019/10/17,86.607639,100.000000,45.000000,100.0,100.0
2019/10/18,85.765152,100.000000,57.000000,99.7,100.0
2019/10/19,87.430556,100.000000,50.000000,99.7,100.0
2019/10/20,89.680556,100.000000,65.000000,100.0,100.0
2019/10/21,88.118055,99.000000,60.000000,100.0,100.0
2019/10/22,90.853220,100.000000,66.000000,99.7,100.0
2019/10/23,96.760417,100.000000,83.000000,100.0,100.0
2019/10/24,90.531250,99.000000,60.000000,100.0,100.0
2019/10/25,84.888889,98.000000,51.000000,100.0,100.0
2019/10/26,79.875947,97.000000,56.000000,99.3,100.0
2019/10/27,79.635417,94.000000,53.000000,100.0,100.0
2019/10/28,72.805556,92.000000,37.000000,100.0,100.0
2019/10/29,77.017361,97.000000,51.000000,100.0,100.0
2019/10/30,83.684028,97.000000,52.000000,100.0,100.0
2019/10/31,81.974432,98.000000,53.000000,99.7,100.0
2019/11/01,83.090278,99.000000,48.000000,99.7,100.0
2019/11/02,89.729167,99.000000,64.000000,100.0,100.0
2019/11/03,85.250000,99.000000,56.000000,100.0,100.0
2019/11/04,84.385417,99.000000,49.000000,100.0,100.0
2019/11/05,80.232639,100.000000,47.000000,100.0,100.0
2019/11/06,83.784722,99.000000,53.000000,100.0,100.0
2019/11/07,78.916667,96.000000,55.000000,100.0,100.0
2019/11/08,72.059028,97.000000,47.000000,100.0,100.0
2019/11/09,85.708333,100.000000,55.000000,100.0,100.0
2019/11/10,91.395833,100.000000,65.000000,100.0,100.0
2019/11/11,98.593119,100.000000,90.000000,99.7,100.0
2019/11/12,96.291667,100.000000,82.000000,100.0,100.0
